R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
Anthony Smith,Ryan Spann,-150,+130,66.66666666666666,+130,2021-09-18,"Las Vegas, Nevada, USA",USA,,False,Light Heavyweight,MALE,5,0,1,0,3.55,0.45,1.7,1.72,0.41,5,2,13,0,0,1,1,2,2,0,6,Orthodox,195.58,200.66,205,0,2,0,3.0,0.47,0.7,0.47,0.28,3,8,47,1,0,0,1,7,4,0,12,Orthodox,193.04,193.04,205,33,30,0,-1,2,-6,-6,-34,-1,-5,-2,2.5400000000000205,7.620000000000003,-3,0.5499999999999998,1.0,1.25,1,1,11.0,6.0,,,,,,6.0,,,,,,,,,,,,,11.0,,,,,,,,Red,,,,,,+400,+700,+300,+550,+225,+350
Ion Cutelaba,Devin Clark,-155,+135,64.51612903225806,+135,2021-09-18,"Las Vegas, Nevada, USA",USA,,False,Light Heavyweight,MALE,3,1,0,0,3.33,0.57,0.1,2.7,0.36,2,5,25,0,0,0,6,0,0,0,6,Orthodox,182.88,190.5,205,2,0,1,5.03,0.4,0.0,3.69,0.57,2,5,19,0,0,0,1,3,0,0,4,Southpaw,185.42,190.5,205,27,31,-1,0,0,2,0,6,0,-3,0,-2.5400000000000205,0.0,4,-1.7000000000000002,0.1,-0.9899999999999998,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+600,+250,+1800,+1200,+100,+500
Ariane Lipski,Mandy Bohm,-125,+105,80.0,+105,2021-09-18,"Las Vegas, Nevada, USA",USA,,False,Women's Flyweight,FEMALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,180.34,125,2,0,0,2.76,0.33,0.5,0.23,0.25,2,4,14,0,0,0,1,0,1,0,2,Orthodox,167.64,170.18,125,27,32,-2,0,-2,-2,-4,-14,0,0,-1,2.539999999999992,10.159999999999997,5,-2.76,-0.5,-0.23,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+185,+175,+600,+1100,+500,+700
Arman Tsarukyan,Christos Giagos,-850,+575,11.76470588235294,+575,2021-09-18,"Las Vegas, Nevada, USA",USA,,False,Lightweight,MALE,3,0,2,0,2.93,0.41,0.5,3.38,0.41,2,4,21,0,0,0,3,0,2,0,5,Orthodox,177.8,180.34,155,0,3,0,3.35,0.44,0.0,3.5,0.35,3,1,12,0,0,0,3,0,0,0,3,Orthodox,170.18,182.88,155,24,31,0,-1,-1,2,3,9,0,0,2,7.620000000000003,-2.539999999999992,7,-0.4199999999999999,0.5,-0.1200000000000001,1,1,,14.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,Red,,,,,,-135,+1000,+400,+2200,+250,+1800
Nate Maness,Tony Gravely,+175,-210,+175,47.61904761904761,2021-09-18,"Las Vegas, Nevada, USA",USA,,False,Bantamweight,MALE,3,0,2,0,4.01,0.54,0.6,6.11,0.54,2,1,11,0,0,1,0,2,0,0,3,Orthodox,165.1,175.26,135,0,2,0,2.4,0.45,0.7,1.33,0.66,2,0,5,0,0,0,1,0,1,0,2,Orthodox,177.8,182.88,135,30,29,0,0,0,1,1,6,0,2,-1,-12.700000000000015,-7.620000000000003,-1,1.61,-0.0999999999999999,4.78,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+330,+140,+1000,+700,+1000,+250
Joaquin Buckley,Antonio Arroyo,-190,+160,52.63157894736842,+160,2021-09-18,"Las Vegas, Nevada, USA",USA,,False,Middleweight,MALE,3,2,0,0,3.08,0.7,0.3,1.4,0.41,2,2,11,0,0,0,1,0,1,0,2,Orthodox,190.5,185.42,185,1,0,0,4.58,0.36,0.0,0.6,0.16,2,2,8,0,0,0,0,2,0,0,2,Southpaw,177.8,193.04,185,27,32,1,0,0,0,0,3,0,-2,1,12.699999999999989,-7.619999999999976,5,-1.5,0.3,0.7999999999999999,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+400,+650,+1800,+550,-110,+450
Mike Rodriguez,Tafon Nchukwi,+100,-120,+100,83.33333333333334,2021-09-18,"Las Vegas, Nevada, USA",USA,,False,Light Heavyweight,MALE,3,1,0,0,6.08,0.51,0.0,0.41,0.25,2,1,8,0,0,0,1,1,0,0,2,Orthodox,182.88,195.58,205,2,0,0,4.61,0.59,0.0,0.0,0.0,1,4,15,0,0,0,0,3,0,0,3,Southpaw,193.04,208.28,205,32,26,-1,0,1,-1,-3,-7,0,-2,0,-10.159999999999997,-12.699999999999989,-6,1.4699999999999998,0.0,0.41,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+250,+350,+1400,+1800,+330,+185
Pannie Kianzad,Raquel Pennington,+110,-130,+110,76.92307692307693,2021-09-18,"Las Vegas, Nevada, USA",USA,,False,Women's Bantamweight,FEMALE,3,0,1,0,3.62,0.48,0.7,1.12,0.28,4,5,38,1,0,2,4,0,2,0,8,Orthodox,170.18,170.18,135,0,4,0,5.71,0.49,0.2,0.18,0.14,4,2,17,0,0,0,4,0,0,0,4,Orthodox,170.18,167.64,135,29,33,0,-3,0,4,3,21,1,0,2,0.0,2.539999999999992,4,-2.09,0.4999999999999999,0.9400000000000002,1,1,,12.0,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,Red,,,,,,+150,+120,+1600,+800,+800,+1400
Zhu Rong,Brandon Jenkins,-275,+220,36.36363636363637,+220,2021-09-18,"Las Vegas, Nevada, USA",USA,,False,Lightweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Switch,182.88,180.34,155,1,0,0,2.8,0.4,0.0,3.0,0.75,0,1,3,0,0,0,0,0,0,0,0,Orthodox,175.26,180.34,155,21,29,-1,0,0,0,-1,-3,0,0,0,7.620000000000003,0.0,8,-2.8,0.0,-3.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+200,+600,+550,+1600,+140,+550
Montel Jackson,JP Buys,-650,+460,15.384615384615385,+460,2021-09-18,"Las Vegas, Nevada, USA",USA,,False,Bantamweight,MALE,3,1,0,0,2.66,0.45,2.2,2.22,0.5,1,2,5,0,0,0,0,0,1,0,1,Orthodox,165.1,170.18,135,0,1,0,3.77,0.55,0.2,4.15,0.77,3,2,17,0,0,0,2,2,1,0,5,Southpaw,177.8,190.5,135,29,25,1,-1,-2,-4,0,-12,0,-2,0,-12.700000000000015,-20.32,-4,-1.11,2.0,-1.93,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+215,+800,+500,+1600,-110,+1800
