R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
Edson Barboza,Giga Chikadze,-125,+105,80.0,+105,2021-08-28,"Las Vegas, Nevada, USA",USA,,False,Featherweight,MALE,5,0,6,0,3.55,0.44,0.0,0.38,0.33,6,1,17,0,0,2,2,2,0,0,6,Orthodox,182.88,187.96,145,0,2,0,4.16,0.44,0.1,0.42,0.44,4,9,64,0,1,1,6,8,0,0,16,Orthodox,180.34,190.5,145,35,33,0,4,2,-10,-8,-47,0,-6,0,2.539999999999992,-2.539999999999992,-2,-0.6100000000000003,-0.1,-0.0399999999999999,1,1,10.0,9.0,,,,,,,,,,9.0,,,,,,,,,,,,,10.0,,,,Red,,,,,,+300,+350,+1400,+2500,+200,+225
Bryan Battle,Gilbert Urbina,-180,+155,55.55555555555556,+155,2021-08-28,"Las Vegas, Nevada, USA",USA,,False,Middleweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,190.5,185,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,195.58,185,26,25,0,0,0,0,0,0,0,0,0,5.079999999999984,-5.0800000000000125,-1,0.0,0.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+175,+350,+450,+650,+400,+700
Ricky Turcios,Brady Hiestand,-150,+130,66.66666666666666,+130,2021-08-28,"Las Vegas, Nevada, USA",USA,,False,Bantamweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,135,1,0,0,7.33,0.37,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,175.26,180.34,135,28,22,-1,0,0,0,-1,-3,0,0,0,-2.539999999999992,0.0,-6,-7.33,0.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+150,+275,+700,+800,+400,+700
Kevin Lee,Daniel Rodriguez,-145,+125,68.96551724137932,+125,2021-08-28,"Las Vegas, Nevada, USA",USA,,False,Welterweight,MALE,3,0,2,0,8.07,0.48,0.2,1.0,0.55,4,1,16,0,0,0,3,2,1,0,6,Southpaw,185.42,187.96,170,1,0,0,3.9,0.42,0.8,3.21,0.43,5,6,44,1,0,1,3,3,4,0,11,Orthodox,175.26,195.58,170,28,34,-1,2,-1,-5,-5,-28,-1,-1,-3,10.160000000000023,-7.620000000000003,6,4.17,-0.6000000000000001,-2.21,1,1,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,neither,,,,,,+180,+330,+350,+1600,+600,+350
Andre Petroski,Micheal Gillmore,-550,+400,18.181818181818183,+400,2021-08-28,"Las Vegas, Nevada, USA",USA,,False,Middleweight,MALE,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,182.88,185,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Switch,182.88,185.42,185,30,34,0,0,0,0,0,0,0,0,0,-2.539999999999992,-2.5400000000000205,4,0.0,0.0,0.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+500,+1100,+100,+1600,+225,+800
Makhmud Muradov,Gerald Meerschaert,-675,+475,14.814814814814813,+475,2021-08-28,"Las Vegas, Nevada, USA",USA,,False,Middleweight,MALE,3,0,1,0,3.31,0.43,1.8,2.28,0.43,2,6,24,0,0,0,0,1,6,0,7,Southpaw,185.42,195.58,185,0,3,0,5.32,0.42,0.4,0.36,0.16,3,0,9,0,0,0,1,2,0,0,3,Orthodox,187.96,190.5,185,31,33,0,-2,-1,4,6,15,0,-1,6,-2.539999999999992,5.0800000000000125,2,-2.01,1.4,1.92,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+275,+1100,+1000,+1000,-175,+2000
Alessio Di Chirico,Abdul Razak Alhassan,-255,+205,39.21568627450981,+205,2021-08-28,"Las Vegas, Nevada, USA",USA,,False,Middleweight,MALE,3,3,0,0,3.71,0.47,0.0,0.53,0.28,3,4,14,0,0,0,0,4,0,0,4,Orthodox,177.8,185.42,185,0,1,0,3.3,0.41,0.0,1.62,0.45,2,5,22,0,0,2,0,2,0,0,4,Orthodox,182.88,187.96,185,31,36,3,-1,1,0,-1,-8,0,2,0,-5.079999999999984,-2.539999999999992,5,0.4100000000000001,0.0,-1.09,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+175,+700,+800,+2800,+180,+330
Sam Alvey,Wellington Turman,+100,-120,+100,83.33333333333334,2021-08-28,"Las Vegas, Nevada, USA",USA,,False,Middleweight,MALE,3,2,0,0,2.44,0.42,0.8,2.31,0.22,1,3,8,0,0,0,1,0,0,0,1,Orthodox,182.88,182.88,185,5,0,1,3.2,0.43,0.1,0.07,0.16,4,10,46,0,0,2,2,5,1,0,10,Southpaw,187.96,190.5,185,35,25,-3,0,-3,-9,-7,-38,0,-5,-1,-5.0800000000000125,-7.620000000000003,-10,-0.7600000000000002,0.7000000000000001,2.24,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+300,+350,+2000,+300,+275,+350
Dustin Jacoby,Darren Stewart,-195,+165,51.28205128205128,+165,2021-08-28,"Las Vegas, Nevada, USA",USA,,False,Light Heavyweight,MALE,3,2,0,0,2.98,0.45,0.1,1.56,0.41,3,6,28,0,0,1,1,2,1,0,5,Orthodox,182.88,187.96,205,0,3,1,4.03,0.48,0.0,0.36,0.5,3,2,16,0,0,0,2,1,0,0,3,Orthodox,190.5,193.04,205,33,30,2,-3,0,2,4,12,0,1,1,-7.620000000000003,-5.079999999999984,-3,-1.0500000000000005,0.1,1.2000000000000002,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,+150,+330,+1600,+1200,+250,+500
JJ Aldrich,Vanessa Demopoulos,-425,+320,23.52941176470588,+320,2021-08-28,"Las Vegas, Nevada, USA",USA,,False,Women's Flyweight,FEMALE,3,1,0,0,1.6,0.41,2.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,157.48,149.86,125,0,1,0,3.76,0.41,0.0,0.8,0.4,3,3,23,0,0,1,4,0,0,0,5,Southpaw,165.1,170.18,125,28,32,1,-1,-3,-5,-2,-20,0,0,0,-7.620000000000003,-20.32,4,-2.16,2.0,-0.8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,-175,+500,+1000,+1400,+400,+1600
